"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
World,"21,842,782","+24,758","773,279",+522,"14,570,347","6,499,156","64,336","2,802",99.2,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
USA,"5,566,632",,"173,128",,"2,922,724","2,470,780","17,237","16,805",523,"70,960,630","214,220","331,251,064"
,,,,,,,,,,,,
Brazil,"3,340,197",,"107,879",,"2,432,456","799,862","8,318","15,700",507,"13,464,336","63,287","212,751,912"
,,,,,,,,,,,,
India,"2,651,290","+3,974","51,079",+34,"1,920,265","679,946","8,944","1,919",37,"30,041,400","21,742","1,381,715,400"
,,,,,,,,,,,,
Russia,"927,745","+4,892","15,740",+55,"736,101","175,904","2,300","6,357",108,"32,700,000","224,061","145,942,628"
South Africa,"587,345",,"11,839",,"472,377","103,129",539,"9,888",199,"3,400,638","57,248","59,401,996"
Peru,"535,946",,"26,281",,"365,367","144,298","1,533","16,227",796,"2,773,412","83,969","33,028,871"
Mexico,"522,162","+4,448","56,757",+214,"355,101","110,304","3,489","4,045",440,"1,176,931","9,116","129,103,148"
Colombia,"468,332",,"15,097",,"287,436","165,799","1,493","9,192",296,"2,225,388","43,677","50,951,072"
Chile,"385,946",,"10,452",,"358,828","16,666","1,190","20,168",546,"2,019,591","105,533","19,136,992"
Spain,"358,843",,"28,617",,N/A,N/A,617,"7,675",612,"7,472,031","159,805","46,757,141"
Iran,"343,203",,"19,639",,"297,486","26,078","3,881","4,080",233,"2,861,825","34,018","84,126,996"
UK,"318,484",,"41,366",,N/A,N/A,73,"4,688",609,"14,503,645","213,503","67,931,752"
Saudi Arabia,"298,542",,"3,408",,"266,953","28,181","1,774","8,559",98,"4,202,076","120,470","34,880,742"
Argentina,"294,569",,"5,703",,"211,702","77,164","1,708","6,510",126,"966,926","21,369","45,248,204"
Pakistan,"289,215",+498,"6,175",+7,"269,087","13,953",771,"1,306",28,"2,299,601","10,386","221,413,234"
Bangladesh,"276,549",,"3,657",,"158,950","113,942",,"1,677",22,"1,351,666","8,197","164,896,196"
Italy,"253,915",,"35,396",,"203,786","14,733",56,"4,200",586,"7,557,417","125,019","60,450,148"
Turkey,"249,309",,"5,974",,"230,969","12,366",679,"2,952",71,"5,725,242","67,792","84,453,113"
Germany,"224,997",,"9,290",,"202,900","12,807",224,"2,684",111,"9,265,361","110,541","83,818,561"
France,"218,536",,"30,410",,"83,848","104,278",367,"3,347",466,"6,000,000","91,895","65,292,241"
Iraq,"176,931",,"5,860",,"125,374","45,697",572,"4,387",145,"1,282,928","31,810","40,330,746"
Philippines,"164,474","+3,314","2,681",+18,"112,759","49,034",461,"1,498",24,"2,037,516","18,563","109,762,573"
Indonesia,"141,370","+1,821","6,207",+57,"94,458","40,705",,516,23,"1,888,215","6,894","273,887,342"
Canada,"122,087",,"9,026",,"108,484","4,577","2,296","3,231",239,"4,778,360","126,465","37,784,053"
Qatar,"115,080",,193,,"111,794","3,093",74,"40,986",69,"551,273","196,336","2,807,805"
Kazakhstan,"103,033",+337,"1,269",,"82,777","18,987",221,"5,479",67,"2,291,327","121,848","18,804,802"
Ecuador,"101,542",,"6,070",,"87,022","8,450",376,"5,745",343,"285,784","16,168","17,676,148"
Bolivia,"100,344","+1,198","4,058",+55,"36,491","59,795",71,"8,582",347,"214,385","18,335","11,692,810"
Egypt,"96,475",,"5,160",,"59,743","31,572",41,941,50,"135,000","1,316","102,569,340"
Ukraine,"92,820","+1,464","2,089",+19,"48,164","42,567",138,"2,124",48,"1,300,289","29,756","43,698,717"
Israel,"92,680",,685,,"68,510","23,485",382,"10,077",74,"2,079,941","226,140","9,197,590"
Dominican Republic,"86,309",,"1,453",,"52,905","31,951",303,"7,946",134,"322,056","29,651","10,861,618"
China,"84,849",+22,"4,634",,"79,603",612,30,59,3,"90,410,000","62,814","1,439,323,776"
Sweden,"84,294",,"5,783",,N/A,N/A,31,"8,340",572,"917,036","90,730","10,107,314"
Oman,"83,086",,572,,"77,680","4,834",151,"16,221",112,"309,212","60,369","5,122,006"
Panama,"81,940",,"1,767",,"55,001","25,172",159,"18,954",409,"271,486","62,798","4,323,139"
Belgium,"78,323",+454,"9,939",+4,"17,994","50,390",86,"6,754",857,"1,983,514","171,050","11,596,114"
Kuwait,"76,205",,501,,"68,135","7,569",117,"17,812",117,"558,800","130,610","4,278,385"
Romania,"70,461",,"2,991",,"32,587","34,883",479,"3,666",156,"1,513,888","78,764","19,220,536"
Belarus,"69,516",,610,,"67,072","1,834",,"7,357",65,"1,422,158","150,510","9,448,916"
UAE,"64,312",,364,,"57,694","6,254",,"6,493",37,"5,990,528","604,777","9,905,343"
Netherlands,"63,002",,"6,172",,N/A,N/A,36,"3,676",360,"1,195,475","69,749","17,139,788"
Guatemala,"62,562",,"2,379",,"50,692","9,491",5,"3,484",132,"200,984","11,193","17,955,967"
Poland,"57,279",+595,"1,885",+8,"39,359","16,035",83,"1,514",50,"2,388,864","63,129","37,841,173"
Singapore,"55,838",+91,27,,"51,953","3,858",,"9,535",5,"1,610,906","275,078","5,856,187"
Japan,"54,714",,"1,088",,"40,080","13,546",232,433,9,"1,177,313","9,312","126,425,327"
Portugal,"54,102",,"1,778",,"39,697","12,627",39,"5,308",174,"1,799,226","176,520","10,192,784"
Honduras,"50,502",+523,"1,575",+8,"7,339","41,588",37,"5,089",159,"123,539","12,448","9,924,011"
Nigeria,"49,068",,975,,"36,497","11,596",7,237,5,"347,545","1,681","206,746,317"
Bahrain,"46,835",,172,+2,"43,128","3,535",39,"27,416",101,"972,003","568,990","1,708,294"
Ghana,"42,532",,231,,"40,362","1,939",6,"1,365",7,"425,969","13,674","31,151,241"
Morocco,"42,489",,658,,"29,344","12,487",31,"1,149",18,"1,605,613","43,436","36,965,309"
Kyrgyzstan,"41,991",+135,"1,496",+1,"34,537","5,958",24,"6,423",229,"267,718","40,952","6,537,422"
Armenia,"41,701",+38,824,+6,"34,655","6,222",,"14,069",278,"185,594","62,617","2,963,962"
Algeria,"38,583",,"1,370",,"27,017","10,196",40,878,31,,,"43,947,742"
Switzerland,"38,124",,"1,991",,"33,300","2,833",26,"4,401",230,"881,683","101,779","8,662,679"
Afghanistan,"37,596",,"1,375",,"27,166","9,055",31,963,35,"98,718","2,529","39,033,459"
Uzbekistan,"35,513",+184,234,+2,"30,973","4,306",410,"1,059",7,"1,377,915","41,096","33,529,285"
Azerbaijan,"34,219",,506,,"31,875","1,838",,"3,371",50,"831,755","81,940","10,150,738"
Venezuela,"33,755",,281,,"22,700","10,774",85,"1,187",10,"1,640,528","57,714","28,425,308"
Moldova,"30,183",,896,,"21,220","8,067",362,"7,485",222,"128,076","31,759","4,032,728"
Kenya,"30,120",,474,,"16,656","12,990",44,559,9,"391,416","7,260","53,913,597"
Ethiopia,"29,876",,528,,"12,359","16,989",217,259,5,"609,463","5,286","115,301,776"
Serbia,"29,682",,674,,"27,061","1,947",73,"3,399",77,"804,568","92,133","8,732,708"
Costa Rica,"28,465",,294,,"9,062","19,109",102,"5,581",58,"120,435","23,615","5,100,000"
Ireland,"27,257",,"1,774",,"23,364","2,119",8,"5,512",359,"709,689","143,525","4,944,707"
Nepal,"26,660",,104,,"17,335","9,221",,913,4,"830,309","28,434","29,200,823"
,,,,,,,,,,,,
Australia,"23,558",+270,421,+25,"14,080","9,057",51,923,16,"5,326,611","208,585","25,536,945"
Austria,"23,534",+164,729,+1,"20,765","2,040",23,"2,611",81,"1,024,067","113,621","9,012,979"
El Salvador,"22,912",,618,+6,"10,814","11,480",435,"3,530",95,"278,445","42,901","6,490,406"
Czechia,"20,012",,397,,"13,799","5,816",26,"1,868",37,"795,760","74,290","10,711,561"
Cameroon,"18,469",,401,,"16,540","1,528",30,694,15,"149,000","5,596","26,624,297"
Ivory Coast,"17,026",,110,,"13,947","2,969",,644,4,"113,388","4,286","26,455,851"
Palestine,"16,534",,110,,"9,838","6,586",,"3,232",22,"214,862","42,001","5,115,589"
Bosnia and Herzegovina,"15,801",,471,,"9,619","5,711",,"4,820",144,"161,008","49,116","3,278,095"
Denmark,"15,617",,621,,"13,340","1,656",,"2,695",107,"1,938,033","334,441","5,794,835"
S. Korea,"15,515",+197,305,,"13,917","1,293",13,303,6,"1,688,470","32,930","51,274,934"
Bulgaria,"14,365",,498,,"9,186","4,681",56,"2,069",72,"334,311","48,162","6,941,433"
Madagascar,"13,827",,170,,"12,424","1,233",93,498,6,"52,321","1,884","27,775,222"
North Macedonia,"12,739",,544,,"9,174","3,021",4,"6,115",261,"126,284","60,615","2,083,363"
Sudan,"12,314",,798,,"6,350","5,166",,280,18,401,9,"43,971,583"
Senegal,"12,162",,253,,"7,677","4,232",53,724,15,"129,392","7,704","16,795,974"
Norway,"10,005",,261,,"8,857",887,2,"1,844",48,"530,446","97,749","5,426,627"
Paraguay,"9,791",,138,,"6,034","3,619",46,"1,371",19,"154,392","21,613","7,143,484"
DRC,"9,676",,240,,"8,705",731,,108,3,,,"89,876,913"
Zambia,"9,343",,260,,"8,412",671,,507,14,"99,835","5,413","18,444,250"
Malaysia,"9,212",+12,125,,"8,876",211,8,284,4,"1,114,246","34,372","32,417,702"
Lebanon,"8,881",,103,,"2,724","6,054",68,"1,302",15,"415,273","60,878","6,821,389"
French Guiana,"8,588",,53,,"7,893",642,15,"28,665",177,"46,077","153,797","299,597"
Guinea,"8,482",,51,,"7,364","1,067",24,644,4,"14,407","1,094","13,174,673"
Gabon,"8,225",,51,,"6,277","1,897",1,"3,685",23,"100,298","44,936","2,232,002"
Libya,"8,172",,153,,933,"7,086",,"1,187",22,"79,057","11,486","6,882,906"
Tajikistan,"8,065",,64,,"6,855","1,146",,843,7,,,"9,563,336"
Haiti,"7,879",,196,,"5,235","2,448",,690,17,"20,999","1,839","11,419,901"
Finland,"7,731",,333,,"7,050",348,,"1,395",60,"467,080","84,282","5,541,839"
Luxembourg,"7,458",,123,,"6,500",835,3,"11,890",196,"685,126","1,092,303","627,231"
Albania,"7,380",,228,,"3,794","3,358",15,"2,565",79,"46,028","15,996","2,877,385"
Greece,"7,075",,228,,"3,804","3,043",24,679,22,"719,311","69,056","10,416,289"
Mauritania,"6,701",,157,,"5,985",559,3,"1,437",34,"58,147","12,467","4,664,078"
Croatia,"6,571",,166,,"5,220","1,185",11,"1,602",40,"137,657","33,559","4,101,888"
Maldives,"5,785",,22,,"3,349","2,414",12,"10,679",41,"96,175","177,540","541,709"
Djibouti,"5,369",,59,,"5,202",108,,"5,424",60,"63,001","63,652","989,779"
Zimbabwe,"5,261",,132,,"2,092","3,037",,353,9,"149,748","10,057","14,889,717"
Malawi,"5,072",,161,,"2,626","2,285",4,264,8,"39,214","2,044","19,188,389"
Hungary,"4,946",+30,608,,"3,630",708,6,512,63,"380,932","39,446","9,657,117"
Equatorial Guinea,"4,821",,83,,"2,182","2,556",,"3,423",59,"44,356","31,497","1,408,267"
CAR,"4,652",,61,,"1,728","2,863",2,961,13,"29,930","6,184","4,840,049"
Hong Kong,"4,525",+44,69,,"3,599",857,29,603,9,"780,415","103,990","7,504,701"
Namibia,"4,154",,35,,"2,370","1,749",14,"1,631",14,"41,146","16,158","2,546,523"
Nicaragua,"4,115",,128,,"2,913","1,074",,620,19,,,"6,634,416"
Montenegro,"4,035",,77,,"2,910","1,048",,"6,424",123,"42,434","67,562","628,076"
Eswatini,"3,839",,70,,"2,268","1,501",10,"3,305",60,"28,380","24,430","1,161,676"
Congo,"3,831",,76,,"1,625","2,130",,692,14,,,"5,534,228"
Thailand,"3,378",+1,58,,"3,194",126,1,48,0.8,"749,213","10,730","69,822,666"
Cuba,"3,316",,88,,"2,620",608,2,293,8,"327,689","28,933","11,325,711"
Somalia,"3,256",,93,,"2,374",789,2,204,6,,,"15,945,174"
Cabo Verde,"3,179",,35,,"2,317",827,,"5,710",63,"61,633","110,702","556,746"
Mayotte,"3,119",,39,,"2,940",140,1,"11,400",143,"13,000","47,515","273,599"
Suriname,"3,016",,47,,"2,036",933,11,"5,135",80,"4,639","7,899","587,297"
Slovakia,"2,907",+5,31,,"1,969",907,6,532,6,"295,319","54,088","5,459,987"
Sri Lanka,"2,893",,11,,"2,676",206,1,135,0.5,"166,737","7,782","21,424,810"
Mozambique,"2,855",,19,,"1,163","1,673",,91,0.6,"77,584","2,474","31,357,980"
Mali,"2,640",,125,,"1,987",528,,130,6,"32,039","1,577","20,318,903"
South Sudan,"2,489",,47,,"1,175","1,267",,222,4,"12,044","1,074","11,210,156"
Rwanda,"2,453",,8,,"1,648",797,,189,0.6,"334,270","25,732","12,990,345"
Slovenia,"2,416",,129,,"2,051",236,2,"1,162",62,"143,295","68,926","2,078,975"
Lithuania,"2,416",,81,,"1,704",631,6,889,30,"578,700","212,985","2,717,091"
Estonia,"2,192",+2,63,,"1,976",153,,"1,652",47,"134,863","101,657","1,326,651"
Guinea-Bissau,"2,117",,33,,"1,015","1,069",5,"1,073",17,"1,500",760,"1,973,552"
Tunisia,"2,107",,54,,"1,358",695,9,178,5,"113,025","9,551","11,834,177"
Benin,"2,063",,39,,"1,690",334,,170,3,"107,057","8,804","12,160,681"
Iceland,"2,011",,10,,"1,880",121,1,"5,888",29,"181,124","530,337","341,526"
Sierra Leone,"1,956",,69,,"1,506",381,,245,9,,,"7,996,610"
Angola,"1,906",,88,,628,"1,190",20,58,3,"64,747","1,963","32,984,365"
Gambia,"1,872",,63,,401,"1,408",,772,26,"6,312","2,603","2,424,616"
Yemen,"1,869",,530,,"1,013",326,,62,18,120,4,"29,904,886"
Syria,"1,677",,64,,417,"1,196",,96,4,,,"17,551,249"
New Zealand,"1,631",+9,22,,"1,531",78,5,326,4,"597,956","119,541","5,002,100"
Uganda,"1,500",,13,,"1,142",345,,33,0.3,"312,792","6,814","45,907,511"
Uruguay,"1,440",,38,,"1,200",202,4,414,11,"146,266","42,087","3,475,284"
Jordan,"1,378",,11,,"1,236",131,3,135,1,"692,760","67,812","10,215,903"
Georgia,"1,341",+5,17,,"1,092",232,,336,4,"301,183","75,519","3,988,160"
Cyprus,"1,339",,20,,870,449,5,"1,108",17,"239,630","198,291","1,208,478"
Latvia,"1,323",+1,32,,"1,078",213,,702,17,"226,524","120,276","1,883,370"
Bahamas,"1,315",,18,,189,"1,108",1,"3,340",46,"7,639","19,402","393,718"
Malta,"1,306",,9,,749,548,3,"2,957",20,"154,522","349,839","441,695"
Burkina Faso,"1,267",,55,,"1,013",199,,60,3,,,"20,970,571"
Liberia,"1,257",,82,,788,387,,248,16,,,"5,071,875"
Botswana,"1,214",,3,,120,"1,091",1,515,1,"87,280","37,024","2,357,375"
Niger,"1,167",,69,,"1,078",20,,48,3,"9,052",372,"24,305,520"
Togo,"1,147",,27,,843,277,2,138,3,"53,017","6,386","8,301,898"
Jamaica,"1,113",+7,14,,764,335,2,376,5,"46,517","15,700","2,962,830"
Aruba,"1,102",,4,,200,898,,"10,316",37,"16,261","152,222","106,824"
Andorra,989,,53,,863,73,1,"12,797",686,"3,750","48,524","77,281"
Vietnam,964,+2,24,,456,484,,10,0.2,"723,596","7,425","97,449,375"
Chad,956,,76,,865,15,,58,5,,,"16,480,896"
Lesotho,903,,25,,271,607,,421,12,"11,097","5,175","2,144,406"
Sao Tome and Principe,885,,15,,818,52,,"4,029",68,"3,279","14,928","219,655"
Réunion,855,,5,,657,193,4,954,6,"35,419","39,525","896,126"
,,,,,,,,,,,,
Diamond Princess,712,,13,,651,48,4,,,,,
Guyana,709,,23,,349,337,3,901,29,"6,046","7,682","787,040"
San Marino,699,,42,,657,0,,"20,595","1,237","6,068","178,786","33,940"
Channel Islands,607,,47,,545,15,,"3,487",270,"52,055","299,053","174,066"
Trinidad and Tobago,552,,11,,140,401,3,394,8,"14,094","10,067","1,400,074"
Tanzania,509,,21,,183,305,7,8,0.4,,,"59,933,056"
Taiwan,485,+1,7,,450,28,,20,0.3,"84,446","3,545","23,822,373"
Belize,452,,3,,35,414,3,"1,134",8,"5,117","12,840","398,509"
Guadeloupe,446,,14,,289,143,2,"1,115",35,"22,696","56,721","400,133"
Burundi,413,,1,,315,97,,35,0.08,"17,306","1,450","11,931,934"
Comoros,405,,7,,379,19,,465,8,,,"871,833"
Myanmar,375,,6,,329,40,,7,0.1,"135,402","2,486","54,456,339"
Faeroe Islands,372,,,,225,147,,"7,609",,"71,738","1,467,425","48,887"
Mauritius,346,,10,,334,2,,272,8,"205,285","161,382","1,272,042"
Isle of Man,336,,24,,312,0,,"3,949",282,"9,066","106,545","85,091"
Martinique,336,,16,,98,222,2,895,43,"12,227","32,586","375,227"
Papua New Guinea,323,,3,,110,210,,36,0.3,"13,361","1,490","8,967,646"
Sint Maarten,317,+17,17,,107,193,3,"7,383",396,"1,826","42,527","42,937"
Turks and Caicos,298,,2,,55,241,3,"7,684",52,"1,840","47,445","38,782"
Mongolia,298,,,,276,22,1,91,,"44,394","13,515","3,284,788"
Eritrea,285,,,,248,37,,80,,,,"3,552,516"
Cambodia,273,,,,238,35,1,16,,"80,632","4,815","16,747,699"
Gibraltar,215,,,,190,25,,"6,382",,"27,328","811,161","33,690"
Cayman Islands,203,,1,,202,0,,"3,084",15,"32,468","493,292","65,819"
French Polynesia,166,,,,64,102,1,591,,"6,525","23,211","281,116"
Bermuda,162,,9,,147,6,,"2,602",145,"32,415","520,740","62,248"
Barbados,151,,7,,122,22,,525,24,"14,423","50,181","287,421"
Monaco,146,,4,,114,28,4,"3,717",102,"38,209","972,809","39,277"
Brunei,142,,3,,138,1,,324,7,"47,172","107,697","438,008"
Bhutan,141,+3,,,103,38,,182,,"59,440","76,928","772,675"
Seychelles,127,,,,126,1,,"1,290",,,,"98,425"
Saint Martin,109,,4,,49,56,1,"2,813",103,"2,321","59,901","38,747"
Antigua and Barbuda,93,,3,,88,2,1,949,31,"1,602","16,342","98,032"
Liechtenstein,91,,1,,87,3,,"2,386",26,900,"23,596","38,142"
St. Vincent Grenadines,57,,,,55,2,,514,,"2,880","25,949","110,986"
Macao,46,,,,46,0,,71,,"4,071","6,259","650,435"
Curaçao,34,,1,,31,2,,207,6,"1,080","6,578","164,179"
Fiji,28,,1,,20,7,,31,1,"6,693","7,459","897,272"
Saint Lucia,25,,,,25,0,,136,,"4,616","25,123","183,735"
Timor-Leste,25,,,,24,1,,19,,"4,238","3,207","1,321,499"
Grenada,24,,,,23,1,,213,,"6,252","55,529","112,590"
New Caledonia,23,,,,22,1,,80,,"11,553","40,417","285,844"
Laos,22,,,,19,3,,3,,"34,386","4,718","7,288,636"
Dominica,18,,,,18,0,,250,,"1,005","13,957","72,009"
Saint Kitts and Nevis,17,,,,17,0,,319,,"1,312","24,640","53,247"
Greenland,14,,,,14,0,,247,,"6,296","110,878","56,783"
Montserrat,13,,1,,12,0,,"2,604",200,61,"12,220","4,992"
Caribbean Netherlands,13,,,,7,6,,495,,424,"16,150","26,254"
Falkland Islands,13,,,,13,0,,"3,723",,"2,256","646,048","3,492"
St. Barth,13,,,,9,4,,"1,316",,"1,699","171,946","9,881"
Vatican City,12,,,,12,0,,"14,981",,,,801
Western Sahara,10,,1,,8,1,,17,2,,,"599,085"
MS Zaandam,9,,2,,,7,,,,,,
British Virgin Islands,9,,1,,7,1,,297,33,"1,522","50,302","30,257"
Saint Pierre Miquelon,4,,,,1,3,,691,,,,"5,790"
Anguilla,3,,,,3,0,,200,,662,"44,075","15,020"
